alpha_values,hls_values,train_errs1,val_errs1
0.001,1.0,18.080210387902696,17.81018407841263
0.001,10.0,17.14183252644791,17.642840066937605
0.001,20.0,16.508278046739587,18.168778388716234
0.001,50.0,15.199330583945969,19.435811618455656
0.001,70.0,14.356583587352823,20.2247191011236
0.001,100.0,13.806706114398427,20.607219698780778
0.01,1.0,18.074233458848845,17.834090365766198
0.01,10.0,17.052178590640132,18.3839349748984
0.01,20.0,16.597931982547365,18.168778388716234
0.01,50.0,14.996114996114995,19.459717905809228
0.01,70.0,14.434283665052893,20.583313411427206
0.01,100.0,13.5975135975136,20.583313411427206
0.1,1.0,18.06825652979499,17.786277791059046
0.1,10.0,17.207578746040287,18.00143437724121
0.1,20.0,16.938616938616935,18.097059526655514
0.1,50.0,15.145538222461298,19.364092756394935
0.1,70.0,14.338652800191266,20.129093951709297
0.1,100.0,14.069690992767914,20.320344250537893
1.0,1.0,18.056302671687284,17.786277791059046
1.0,10.0,17.21355567509414,17.164714319866125
1.0,20.0,17.016317016317018,18.097059526655514
1.0,50.0,15.396569242723091,19.0294047334449
1.0,70.0,14.71519933058395,19.364092756394935
1.0,100.0,14.296814296814297,19.0294047334449
10.0,1.0,18.050325742633433,17.834090365766198
10.0,10.0,17.16574024266332,16.94955773368396
10.0,20.0,17.18964795887873,17.30815204398757
10.0,50.0,16.890801506186126,17.42768348075544
10.0,70.0,16.8310322156476,17.332058331341138
10.0,100.0,16.80712449943219,17.403777193401858
20.0,1.0,18.038371884525727,17.834090365766198
20.0,10.0,17.416771262925113,17.164714319866125
20.0,20.0,17.452632837248217,16.9973703083911
20.0,50.0,17.33309425617118,16.94955773368396
20.0,70.0,17.321140398063473,16.87783887162324
20.0,100.0,17.36297890144044,16.9973703083911
100.0,1.0,18.038371884525727,17.81018407841263
100.0,10.0,17.882971729125575,17.547214917523313
100.0,20.0,17.906879445340984,17.57112120487688
100.0,50.0,17.87699480007172,17.595027492230454
100.0,70.0,17.900902516287132,17.595027492230454
100.0,100.0,17.87699480007172,17.618933779584033
